Ranking,Country,Political Context 2022,Economic Context 2022,Legal Framework 2022,Safety Score 2022,Sociocultural Context 2022,Abuse Score 2021,Underlying Situation Score 2021,Global Score 2022,Global Score 2021,Global Score 2020,Global Score 2019
59,Niger,62.3,46.73,71.75,81.69,76.5,0,24.88,67.8,24.88,23.93,24.7
60,Ghana,66.61,47.22,81.42,62.25,79.64,21.97,34.33,67.43,34.33,33.83,32.74
61,Kosovo,64.34,45.24,80.85,70.26,74.33,0,28.74,67,28.74,28,28.46
62,Papua New Guinea,62.42,45.24,66.08,78.23,81.33,16.09,19.85,66.66,19.85,20.45,21.74
63,Montenegro,62.51,47.67,77.19,74.33,71,33.32,28.02,66.54,28.84,28.65,28.89
64,Mauritius,55.58,47.81,64.29,82.5,80.29,10.99,28.34,66.07,28.34,28.51,29.02
65,Cyprus,61.21,42.09,74.56,86.25,65.75,19.46,32.83,65.97,32.83,32.62,31.88
66,Poland,50.95,57.41,68.95,68.33,82.53,20.79,33.65,65.64,33.65,33.72,32.44
67,Bosnia-Herzegovina,61.56,40.23,79.57,74.95,71.86,0,28.88,65.64,28.88,28.86,29.36
68,Ecuador,60.1,55.44,67.98,70.03,69.5,19.46,30.36,64.61,30.37,30.19,29.92
69,Kenya,62.42,46.33,72.28,63.92,78,28.33,24.62,64.59,25.22,23.99,25.81
70,Haiti,59.6,50.34,72.22,59.91,80.67,0,29.94,64.55,29.94,29.78,29.78
71,Japan,54.66,53.7,66.23,80.19,67.06,27.73,33.36,64.37,33.36,32.25,31.49
72,Kyrgyzstan,59.9,48.64,68.86,74.83,69,20.79,34.62,64.25,34.62,35.1,33.4
73,Senegal,59.31,42.13,66.67,74.84,72.43,13.86,31.71,63.07,31.71,30.94,30.22
74,Panama,54.24,47.45,64.04,74.15,74,0,30.46,62.78,30.46,30.16,29.74
75,Liberia,55.5,32.8,74.69,68.3,82.57,31.78,32.03,62.77,32.03,31.62,31.18
76,Nepal,59.8,40.14,66.08,69.99,77.33,17.92,28.8,62.67,28.8,29.32,29.36
77,Peru,66.67,41.84,70.61,66.35,63,30.45,27.36,61.75,27.89,27.31,25.65
78,Malta,46.82,41.33,67.98,76.87,74.75,6.93,30.65,61.55,30.65,29.77,27.91
79,Serbia,47.47,34.92,79.92,71.03,74.22,17.92,35.42,61.51,35.42,34.34,33.49
80,Malawi,55.76,38.44,78.07,67.08,67.67,0,31.76,61.4,31.76,30.84,30.44
81,North Cyprus,56.48,38.78,69.82,80.14,60.2,44.07,27.78,61.08,30.9,30.84,30.8
82,Chile,65.03,42.86,67.63,55.15,72.4,0,29.13,60.61,29.13,29.93,32.16
83,Comoros,56.36,50.26,59.98,58.56,75.63,10.99,31.54,60.16,31.61,30.45,29.74
84,Guinea,59.26,47.05,71.15,50.96,70.67,0,28.64,59.82,28.64,28.59,28.98
85,Hungary,47.07,32.31,67.25,85.03,67.33,0,28.97,59.8,28.97,29.61,29.51
86,Israel,65.15,55.1,53.51,46.61,77.75,24.85,37.29,59.62,37.29,35.06,35.11
87,Maldives,62.27,38.27,67.11,75.12,55,0,32.68,59.55,32.68,32.06,30.95
88,Lesotho,57.37,40.14,57.31,68.11,74,0,29.53,59.39,29.53,29.45,29.61
89,Georgia,52.42,46.43,80.79,41.34,75.5,6.93,23.25,59.3,23.25,23.56,25.09
90,Mongolia,55.48,36.18,60.37,74.27,69.55,45,30.99,59.17,33.52,32.97,32.4
91,Bulgaria,54.95,30.1,68.71,75.02,66.83,0,32.25,59.12,32.25,32.54,31.65
92,Guinea Bissau,59.26,50.82,68.42,61.18,62.4,0,28.24,58.79,28.24,27.68,27.76
